"Museum","Catalog.Number","Day","Month","Year","Subspecies","Sex","Age","Country","State.Province","County","Location","Latitude","Longitude","Hood.L","Hood.a","Hood.b","Back.L","Back.a","Back.b"
"SDNHM",28498,8,4,1906,"montanus","M","U","United States","Oregon","Baker","ANTHONY, OR.",44.9821017,-117.36991,26.96,3.11,11.2,17.69,2.18,5.35
"SDNHM",28499,15,4,1906,"montanus","M","U","United States","Oregon","Baker","ANTHONY, OR.",44.9821017,-117.36991,30.11,3.63,12.89,16.64,2.04,4.84
"SDNHM",28500,15,4,1906,"montanus","M","U","United States","Oregon","Baker","ANTHONY, OR.",44.9821017,-117.36991,30.51,3.43,12.54,22.29,2.33,6.39
"SDNHM",28501,29,4,1906,"montanus","M","U","United States","Oregon","Baker","ANTHONY, OR.",44.9821017,-117.36991,31.66,3.33,12.64,14.26,2.61,6.01
"SDNHM",28514,12,9,1924,"montanus","F","A","United States","Oregon","Umatilla","MEACHAM OR",45.5065187,-118.42135,31.73,5.66,14.48,22.4,2.37,7.14
"SDNHM",28587,26,5,1933,"montanus","F","U","United States","Oregon","Umatilla","MEACHAM OR",45.5065187,-118.42135,33.76,2.85,12.53,28.4,1.1,5.58
"SDNHM",28586,26,5,1933,"montanus","M","U","United States","Oregon","Umatilla","MEACHAM OR.",45.5065187,-118.42135,31.97,2.43,10.53,17.82,2.04,5.33
"SDNHM",28525,8,4,1917,"montanus","F","U","United States","Oregon","Umatilla","PENDLETON OR",45.672075,-118.7886,32.08,3.44,13.71,24.97,2.38,7.57
"SDNHM",28515,12,4,1923,"montanus","F","U","United States","Oregon","Grant","HAMILTON OR",44.7404274,-119.30915,32.03,3.71,14.24,26.94,2,7.37
"UCLA",51008,3,5,1950,"montanus","F","U","Canada","British Columbia","Okanagan-Similkameen","DRY LAKE, 17 MI. N OF PRINCETON, BC",49.648361,-120.62145,31.76,3.91,13.33,24.46,2.01,5.52
"UCLA",51009,3,5,1950,"montanus","M","U","Canada","British Columbia","Okanagan-Similkameen","DRY LAKE 17 MI. N OF PRINCETON, B.C. EDGE OF CONFIEROUS FOREST",49.648361,-120.62145,30.39,3.59,14.1,16.94,2.09,6.01
"SDNHM",28637,29,6,1941,"oreganus","F","U","United States","Alaska","Wrangell-Petersburg","WRANGLE, ALASKA",56.4598411,-132.3487,27.37,5.65,16.56,19.93,2,6.49
"SDNHM",28639,29,6,1941,"oreganus","M","U","United States","Alaska","Wrangell-Petersburg","WRANGLE, ALASKA",56.4598411,-132.3487,25.26,5.24,14.53,14.31,1.59,4.68
"LACM",23639,19,11,1919,"oreganus","M","U","United States","Alaska","Prince of Wales-Outer Ketchi","CRAIG, PRINCE OF WALES ALASKA",55.4760513,-133.15002,27.9,6.55,16.34,17.06,1.97,6.94
"LACM",23640,20,11,1919,"oreganus","M","U","United States","Alaska","Prince of Wales-Outer Ketchi","CRAIG, PRINCE OF WALES ALASKA",55.4760513,-133.15002,25.4,6.92,15.97,13.66,1.67,5.92
"SDNHM",28662,2,7,1941,"oreganus","M","U","United States","Alaska","Juneau","MECHENHALL RIDGE, JUNEAU, ALASLA",58.3840783,-134.58973,27.22,6.04,16.03,18.29,1.95,5.54
"SDNHM",28664,2,7,1941,"oreganus","M","U","United States","Alaska","Juneau","MENDENHALL RIDGE, JUNEAU, ALASKA",58.385698,-134.59248,29.64,4.4,12.97,19.71,1.59,4.51
"LACM",23648,14,8,1912,"oreganus","F","I","United States","Alaska","Sitka","SITKA",57.0531,-135.33,27.95,5,12.59,24.46,3.01,9.22
"LACM",23649,24,9,1913,"oreganus","M","U","United States","Alaska","Sitka","SITKA",57.0531,-135.33,25.69,4.99,12.95,15.54,2.13,6.27
"SDNHM",28649,15,7,1941,"oreganus","F","U","United States","Alaska","Skagway-Yakutat-Angoon","BEAR TRACK COVE",58.591606,-135.852344,29.48,4.52,15.16,21.19,2.29,7.33
"SDNHM",28648,15,7,1941,"oreganus","M","U","United States","Alaska","Skagway-Yakutat-Angoon","BEAR TRACK COVE",58.591606,-135.852344,30.3,3.73,13.5,18.01,2.16,6.26
"SDNHM",28650,15,7,1941,"oreganus","M","U","United States","Alaska","Skagway-Yakutat-Angoon","BEAR TRACK COVE",58.591606,-135.852344,27.26,6.29,15.13,17.71,1.73,5.02
"SDNHM",28651,16,7,1941,"oreganus","M","U","United States","Alaska","Skagway-Yakutat-Angoon","BEAR TRACK COVE",58.591606,-135.852344,25.68,5.16,13.93,16.31,1.68,5.53
"SDNHM",28652,16,7,1941,"oreganus","M","U","United States","Alaska","Skagway-Yakutat-Angoon","BEAR TRACK COVE",58.591606,-135.852344,26.47,4.36,13.57,20.69,1.82,5.09
"SDNHM",28653,16,7,1941,"oreganus","M","U","United States","Alaska","Skagway-Yakutat-Angoon","BEAR TRACK COVE",58.591606,-135.852344,28.29,3.42,12.49,19.56,1.44,4.32
"SDNHM",28654,16,7,1941,"oreganus","M","U","United States","Alaska","Skagway-Yakutat-Angoon","BEAR TRACK COVE",58.591606,-135.852344,25.4,5.34,13.9,18.8,1.45,5
"SDNHM",28655,16,7,1941,"oreganus","M","U","United States","Alaska","Skagway-Yakutat-Angoon","BEAR TRACK COVE",58.591606,-135.852344,25.95,4.89,14.56,19.83,1.6,4.61
"SDNHM",12490,22,10,1929,"pinosus","M","U","United States","California","Monterey","1 M. SW JOLON, MONTEREY CO. CALIF",35.960766,-121.188943,32.84,5.85,16.23,17.86,2.1,6.1
"SDNHM",45675,2,10,1988,"pinosus","F","U","United States","California","Monterey","PLASKETT RIDGE RD. 2.2 ROAD MI EAST OF HIGHWAY 1",35.914381,-121.426277,32.35,5.65,15.76,28.14,3.81,11.24
"SDNHM",45676,2,10,1988,"pinosus","F","U","United States","California","Monterey","PLASKETT RIDGE RD. 2.2 ROAD MI EAST OF HIGHWAY 1",35.914381,-121.426277,34.17,8.25,18.65,27.44,3.97,11.98
"SDNHM",45677,2,10,1988,"pinosus","M","U","United States","California","Monterey","PLASKETT RIDGE RD. 2.2 ROAD MI. EAST OF HIGHWAY, MONTEREY CO.",35.914381,-121.426277,32.04,6.85,16.4,19.01,2.55,7.01
"SDNHM",46651,14,10,1989,"pinosus","M","U","United States","California","Monterey","2 MI. E OF POINT GORDA, MONTEREY CO.",35.93325,-121.440599,32.71,6.09,14.45,17.49,1.62,4.62
"SDNHM",46677,14,10,1989,"pinosus","M","U","United States","California","Monterey","2 MI. E OF POINT GORDA, MONTEREY CO.",35.93325,-121.440599,31.71,6.76,15.99,16.98,2.19,5.72
"SDNHM",45475,4,10,1988,"pinosus","M","U","United States","California","Monterey","1.6 MI. SE OF CONE PEAK",36.035553,-121.474533,30.02,6.68,16.08,20,1.74,4.24
"SDNHM",3478,28,8,1970,"pinosus","M","U","United States","California","San Benito","3 MI SE SAN JUAN BAUTISTA",36.818759,-121.49342,32.77,5.91,15.91,22.65,1.96,4.67
"SDNHM",42314,28,5,1983,"pinosus","M","U","United States","California","Monterey","4 MI W. OF SUMMIT OF CHEWS RIDGE, 4800-, MONTEREY CO.",36.405281,-121.822128,34.45,8.49,20.82,15.98,2.3,6.47
"SDNHM",34449,23,8,1915,"pinosus","F","U","United States","California","Monterey","MONTEREY",36.600238,-121.894676,34.13,7.22,18.56,28.55,4.39,13.83
"SDNHM",34450,23,8,1915,"pinosus","F","U","United States","California","Monterey","MONTEREY CA",36.600238,-121.894676,31.9,7.02,17.29,21.69,2.49,7.97
"SDNHM",28673,7,9,1914,"pinosus","F","U","United States","California","Monterey","PACIFIC GROVE",36.617738,-121.916622,30.92,6.25,17.75,25.29,2.06,7.84
"SDNHM",28674,1,9,1916,"pinosus","M","U","United States","California","Monterey","PACIFIC GROVE",36.617738,-121.916622,28.04,5.48,15.23,16.96,2.15,6.36
"SDNHM",28672,11,5,1892,"pinosus","M","U","United States","California","Santa Cruz","GLENWOOD",37.10828,-121.986626,28.14,6.34,17.13,18.17,2.41,7.15
"SDNHM",35223,22,11,1956,"pinosus","F","U","United States","California","Contra Costa","1.8 MI S, 1 MI E ORINDA",37.851057,-122.161178,30.29,7.11,17.89,17.74,2.05,6.75
"SDNHM",1535,23,11,1917,"pinosus","F","U","United States","California","San Mateo","PORTOLA",37.3833,-122.2333,30.17,7.15,17.04,21.07,3.44,9.92
"SDNHM",34451,26,9,1916,"pinosus","M","U","United States","California","San Mateo","PORTOLA",37.3833,-122.2333,29.91,7.55,15.27,22.22,1.22,3.94
"SDNHM",34452,26,9,1916,"pinosus","M","I","United States","California","San Mateo","PORTOLA",37.3833,-122.2333,29.13,6.56,15.87,19.07,1.52,5.76
"SDNHM",35221,8,2,1958,"pinosus","M","U","United States","California","Alameda","HASTE ST. BERKELEY, ALAMEDA CO., CA",37.871593,-122.272747,25.92,5.84,17.06,16.75,2.44,7.95
"UCLA",20280,24,6,1922,"shufeldti","F","U","United States","Washington","Chelan","CHELAN COUNTY",47.841784,-120.558775,32.46,3.71,14.33,24.15,2.03,7.39
"UCLA",20284,24,6,1922,"shufeldti","F","U","United States","Washington","Chelan","CHELAN COUNTY",47.841784,-120.558775,30.38,5.34,16.91,22.17,2.2,7.62
"UCLA",20259,20,5,1924,"shufeldti","M","U","United States","Washington","Kittitas","KITTITAS COUNTY",47.1953976,-120.93925,28.09,3.67,12.87,13.15,1.56,5.47
"SDNHM",442877,1,9,1978,"shufeldti","M","I","United States","Washington","Kittitas","KITTITAS COUNTY",47.1953976,-120.93925,32.14,5.14,14.43,23.51,2.58,7.5
"UCLA",26375,6,5,1925,"shufeldti","M","U","United States","Oregon","Deschutes","TUMALO CREEK, BEND, DESCHUTES CO., OR",44.0666667,-121.31667,33.32,3.87,13.73,18.58,2.25,6.9
"SDNHM",28603,12,5,1924,"shufeldti","M","U","United States","Oregon","Deschutes","SISTERS, OR",44.2909491,-121.54921,32.06,4.69,14.71,17.72,1.66,5.49
"UCLA",20261,3,9,1919,"shufeldti","M","I","United States","Washington","Pierce","RANIER N.P. WA",46.855309,-121.743698,29.52,5.41,13.64,25.14,4.27,11.78
"LACM",111695,19,9,1998,"shufeldti","F","A","United States","Washington","Whatcom","WHATCOM CO. MT. BAKER, WA",48.7773426,-121.8132,29.02,5.14,12.97,22.82,1.83,5.72
"LACM",111696,19,9,1998,"shufeldti","F","I","United States","Washington","Whatcom","WHATCOM CO. MT. BAKER, WA",48.7773426,-121.8132,29.86,4.87,13.86,22.83,2.05,6.64
"UCLA",20260,26,8,1919,"shufeldti","M","U","United States","Washington","Pierce","SPRAY PARK, RANIER NP WA",46.91538,-121.826,28.29,5.64,14.81,18.7,2.08,7.11
"SDNHM",40737,18,9,1978,"shufeldti","M","I","United States","Washington","Skamania","SKAMANIA CO.",45.9749103,-121.88089,29.91,5.3,14.49,23.1,3.52,10.27
"SDNHM",28611,31,7,1919,"shufeldti","M","U","United States","Washington","Pierce","MT RAINIER WA",46.8831622,-121.88455,28.58,4.73,15.35,18.22,1.41,4.67
"UCLA",7883,25,4,1904,"shufeldti","M","U","United States","Washington","Pierce","SO. TACOMA, PIEREE CO., WA",47.2166667,-122.43333,27.19,4.83,14.32,16.36,2.05,5.61
"SDNHM",44288,6,9,1978,"shufeldti","M","A","United States","Washington","Island","GRAMAYRE RD. GREENBANK, WA",48.0981503,-122.57294,31.57,5,13.07,20,2.01,5.34
"SDNHM",28564,4,7,1920,"shufeldti","M","U","United States","Oregon","Multnomah","PORTLAND OREGON",45.5234515,-122.67621,31.78,3.5,13.59,21.89,1.81,5.77
"SDNHM",28614,20,5,1921,"shufeldti","M","U","United States","Washington","Thurston","TEMINO WA",46.8567663,-122.85291,30.94,2.87,12.18,13.25,1.78,5.27
"SDNHM",28597,30,5,1923,"shufeldti","M","U","United States","Oregon","Washington","TIMBER WASHINGTON CO. OREGON",45.7198337,-123.29456,32.05,4.24,14.99,20.08,2.25,5.61
"SDNHM",2857,23,10,1924,"thurberi","F","I","United States","California","Imperial","1 M.N. POTHOLES IMPERIAL CO. CA",32.8434414,-114.50467,32.76,6.04,17.37,24.88,4.33,13
"SDNHM",9624,23,10,1924,"thurberi","F","I","United States","California","Imperial","1 M.N. POTHOLES IMPERIAL CO. CA",32.8434414,-114.50467,32.92,5.64,16.22,25.07,2.9,8.77
"SDNHM",2846,22,10,1924,"thurberi","F","A","United States","California","Imperial","2 M. N. BARD IMPERIAL CO.",32.81829,-114.555778,29.65,5.67,16.07,25.03,2.5,8.13
"SDNHM",9611,22,10,1924,"thurberi","M","I","United States","California","Imperial","L.M.N.BARD IMPERIAL CO",32.8182363,-114.55734,31.59,5.38,17.07,21.44,2.01,6.29
"SDNHM",9612,22,10,1924,"thurberi","F","I","United States","California","Imperial","2 M. N. BARD IMPERIAL CO.",32.8182363,-114.55734,31.14,6.25,17.92,24.08,3.22,10.68
"SDNHM",17033,8,4,1935,"thurberi","M","U","United States","California","San Bernardino","PROVIDENCE MTNS., SAN BERNARDINO CA",34.982366,-115.50575,34.04,6.08,18.11,16.09,2.26,5.22
"SDNHM",17016,5,4,1935,"thurberi","F","U","United States","California","San Bernardino","PROVIDENCE MOUNTAIN, SAN BERNARDINO",34.982366,-115.50668,33.8,5.34,16.66,23.2,3.01,8.23
"SDNHM",17017,5,4,1935,"thurberi","F","U","United States","California","San Bernardino","PROVIDENCE MOUNTAIN, SAN BERNARDINO",34.982366,-115.50668,32.04,4.78,16.29,25.5,2.84,8.02
"SDNHM",17024,7,4,1935,"thurberi","M","U","United States","California","San Bernardino","PROVIDENCE MTNS., SAN BERNARDINO CA",34.9678429,-115.52733,34.83,4.16,13.23,16.98,2.2,3.8
"SDNHM",17018,6,4,1935,"thurberi","F","U","United States","California","San Bernardino","PROVIDENCE MOUNTAIN, SAN BERNARDINO",34.9518047,-115.53806,33.11,3.86,14.43,28.23,3.46,11.78
"SDNHM",55349,9,10,2017,"thurberi","F","I","United States","California","San Bernardino","STUBBE SPRING, JOSHUA TREE",34.44916,-116.397,34.09,4.39,14.85,29.42,1.28,7.65
"SDNHM",55320,5,10,2017,"thurberi","F","I","United States","California","San Bernardino","STUBBE SPRING, JOSHUA TREE",34.44916,-116.397,33.06,5.61,17.42,26.34,2.68,10.62
"SDNHM",55325,6,10,2017,"thurberi","F","A","United States","California","San Bernardino","STUBBE SPRING, JOSHUA TREE",34.44916,-116.397,36.15,4.08,13.98,22.08,0.93,5.47
"SDNHM",55313,4,10,2017,"thurberi","F","I","United States","California","San Bernardino","STUBBE SPRING, JOSHUA TREE",34.44916,-116.397,33.95,4.19,13.88,30.12,2.39,11.39
"SDNHM",55332,7,10,2017,"thurberi","F","I","United States","California","San Bernardino","STUBBE SPRING, JOSHUA TREE",34.44916,-116.397,30.7,5.24,15.06,23.04,2.45,9.06
"SDNHM",42998,11,4,1984,"thurberi","F","U","United States","California","San Diego","NR. ANTONE CANYON, 6.5MI S. MT. LAGUNA",32.7787034,-116.42045,34.27,5.61,16.58,24.71,2.85,10.36
"SDNHM",43178,12,8,1984,"thurberi","M","A","United States","California","Riverside","VIRGIN SPRING, SANTA ROAST MT., RIVERSIDE",33.5305916,-116.42873,30.95,4.95,12.92,19.12,1.61,3.75
"SDNHM",43179,12,8,1994,"thurberi","F","A","United States","California","Riverside","VIRGIN SPRING, SANTA ROSA MOUNTAINS",33.5305916,-116.42873,37.07,5.16,14.65,21.37,2.07,5.73
"SDNHM",43177,12,8,1984,"thurberi","F","A","United States","California","Riverside","VIRGIN SPRING, SANTA ROSA MOUNTAINS",33.5305916,-116.42873,36.57,5.2,14.19,28.12,2,5.93
"SDNHM",2862,12,5,1924,"thurberi","M","U","United States","California","San Diego","LAGUNA MTNS. SAN DIEGO",32.8697835,-116.43723,31.88,5.35,16.74,13.5,1.3,5.45
"SDNHM",2611,8,10,1921,"thurberi","F","I","United States","California","San Diego","LAGUNA MTNS. SAN DIEGO",32.8697835,-116.43723,33.08,5.31,16.87,28.51,2.53,10.42
"SDNHM",52779,21,9,2010,"thurberi","F","A","United States","California","Riverside","SANTA ROSA SPRING, SANTA ROSA MTNS.",33.5333,-116.45,32.32,4.67,11.96,23.74,1.36,4.26
"SDNHM",52795,23,9,2010,"thurberi","M","I","United States","California","Riverside","SANTA ROSA SPRING, RIVERSIDE CO., CA",33.54009,-116.467,30.04,5.28,13.99,17.65,1.11,4.47
"SDNHM",52817,4,10,2010,"thurberi","F","A","United States","California","Riverside","GARNET QUEEN MINE, SANTA ROSA MTNS., CA",33.54285,-116.48122,31.62,5.29,13.23,20.99,1.47,5
"SDNHM",53914,26,6,2013,"thurberi","F","U","United States","California","Riverside","GARNET QUEEN MINE, SANTA ROSA MTNS., CA",33.54285,-116.48122,34.82,4.04,14.22,26.46,1.64,7.61
"SDNHM",52818,4,10,2010,"thurberi","F","A","United States","California","Riverside","GARNET QUEEN MINE, SANTA ROSA MTNS., CA",33.544751,-116.48696,34.64,3.96,13.81,22.16,1.42,4.77
"SDNHM",52276,29,4,2009,"thurberi","F","U","United States","California","Riverside","GARNET QUEEN MINE, SANTA ROSA MTNS., CA",33.544751,-116.48696,35.52,3.95,15.19,29.91,1.22,6.88
"SDNHM",52024,17,6,2008,"thurberi","M","U","United States","California","Riverside","THOMAS MT. TOOL BOX SPRING RIVERSIDE CO. CA",33.54475,-116.487,33.93,4.95,14.24,16.38,1.16,4.61
"SDNHM",52351,22,6,2009,"thurberi","M","U","United States","California","Riverside","SAN JACINTO MTNS. BETWEEN SKUNK CABBAGE AND DEER'S MEADOWS",33.54475,-116.487,32.04,4.76,13.5,14.62,1.44,4.37
"SDNHM",42948,13,3,1984,"thurberi","F","U","United States","California","San Diego","1.1 MI ESE SUMMIT CORTE MADERA MT.",32.7515063,-116.56956,34.36,5.59,16.65,38.49,2.82,10.02
"SDNHM",43162,21,7,1984,"thurberi","F","U","United States","California","San Diego","CUYAMACA PK. 0.3MI NE OF SUMMIT",32.9497946,-116.60276,32.55,4.88,13.28,23.69,2.28,6.26
"SDNHM",48584,9,10,1993,"thurberi","M","I","United States","California","San Diego","1 MI. N OAK RIDGE, VOLCAN MT. SAN DIEGO",33.1577649,-116.61363,34.5,6.24,16.35,16.9,1.71,5.46
"SDNHM",53842,18,4,2013,"thurberi","M","U","United States","California","Riverside","MORRIS CREEK AT QUINN FLAT, CA",33.6428,-116.6228,31.82,4.88,15.18,15.64,0.47,3.63
"SDNHM",53815,15,4,2013,"thurberi","M","U","United States","California","Riverside","MORRIS CREEK AT QUINN FLAT, CA",33.6428,-116.6228,31.36,4.88,15.05,13.45,0.93,3.75
"SDNHM",52340,21,6,2009,"thurberi","F","U","United States","California","Riverside","BETWEEN SKUNK CABBAGE AND REED'S MEADOWS",33.771687,-116.658628,34.11,4.47,14.97,21.53,2.1,6.44
"SDNHM",52025,16,6,2008,"thurberi","F","U","United States","California","Riverside","THOMAS MT. TOOL BOX SPRING RIVERSIDE CO. CA",33.613024,-116.659879,32.93,4.72,14.52,18.01,1.71,5.24
"SDNHM",54391,15,10,2014,"thurberi","M","A","United States","California","Riverside","MAGEE SPRING, THOMAS MT.",33.62134,-116.666592,33.26,6.22,15.06,14.78,0.55,2.74
"SDNHM",53589,17,9,2012,"thurberi","F","A","United States","California","Riverside","REED'S MEADOW, SAN JACINTO",33.62134,-116.667,33.22,4.4,12.58,20.65,1.92,5.68
"SDNHM",52737,18,8,2010,"thurberi","F","A","United States","California","Riverside","LOWER END OF TAHQUITZ MEADOW, SAN JACINTO MTNS.",33.768076,-116.667517,33.32,5.03,12.87,24.18,1.95,5.55
"SDNHM",53438,27,3,2012,"thurberi","M","U","United States","California","Riverside","SE CORNER LAKE HEMET RIVERSIDE CO. CA",33.661,-116.6718,34.91,6.23,16.48,15.62,0.51,2.7
"SDNHM",1036,8,4,1890,"thurberi","F","U","United States","California","San Diego","SANTA YSABEL SAN DIEGO",33.1092091,-116.67308,36.96,5.05,17.71,29.77,2.12,8.61
"SDNHM",52392,26,8,2009,"thurberi","F","I","United States","California","Riverside","ROUND VALLEY, SAN JACINTO MTNS.",33.81446,-116.679,32.92,4.89,13.68,27.74,1.88,7.11
"SDNHM",53179,23,8,2011,"thurberi","M","I","United States","California","Riverside","TOOL BOX SPRING, THOMAS MT. RIVERSIDE",33.61975,-116.68,29.56,4.86,12.88,18.5,1.36,3.86
"SDNHM",53525,28,6,2012,"thurberi","F","U","United States","California","Riverside","STRAWBERRY CR. 0.5 MI. N HUMBER PARK RIVERSIDE",33.7721,-116.68663,36.07,4.06,14.57,20.19,1.41,4.35
"SDNHM",53201,12,9,2011,"thurberi","M","I","United States","California","Riverside","PINE WOOD, SAN JACINTO, RIVERSIDE CO.",33.81474,-116.7377,31.77,5.93,14.65,19.41,1.97,6.01
"SDNHM",52639,3,6,2010,"thurberi","M","U","United States","California","Riverside","1.6M E. VISTA GRANDE FIRE STATION",33.83665,-116.78217,38.69,5.5,15.19,15.65,1.02,3.55
"SDNHM",52652,4,6,2010,"thurberi","F","U","United States","California","Riverside","0.6MI NNE VISTA GRANDE FIRE STATION",33.841269,-116.8064,35.36,3.32,13.57,29.48,1.34,5.08
"SDNHM",53414,8,3,2012,"thurberi","F","U","United States","California","San Bernardino","OMSTATT CREEK 1.7 MI SW SUGARLOAF MTN.",34.165858,-116.821082,33.73,2.8,11.17,23.97,1.31,6.54
"SDNHM",49767,30,9,1996,"thurberi","M","A","United States","California","San Diego","SOURDOUGH SPRING, PALOMAR MT., SAN DIEGO CO. CA",33.3650341,-116.83141,31.26,5.09,11.98,18.05,1.41,4.14
"SDNHM",49766,30,9,1996,"thurberi","M","A","United States","California","San Diego","SOURDOUGH SPRING, PALOMAR MT., SAN DIEGO CO. CA",33.3650341,-116.83141,31.7,5.22,14.49,14.86,1.32,3.73
"SDNHM",49768,30,9,1996,"thurberi","M","A","United States","California","San Diego","SOURDOUGH SPRING, PALOMAR MT., SAN DIEGO CO. CA",33.3650341,-116.83141,31.59,5.71,15.12,17.45,1.74,5.39
"SDNHM",49770,30,9,1996,"thurberi","F","A","United States","California","San Diego","SOURDOUGH SPRING, PALOMAR",33.3650341,-116.83141,32.95,4.7,14.18,20.93,1.85,5.07
"SDNHM",49772,30,9,1996,"thurberi","F","A","United States","California","San Diego","SOURDOUGH SPRING, PALOMAR",33.3650341,-116.83141,32.18,5.41,15.39,23.54,2.44,7.39
"SDNHM",49773,30,9,1996,"thurberi","F","A","United States","California","San Diego","SOURDOUGH SPRING, PALOMAR",33.3650341,-116.83141,33.33,5.62,16.07,23.95,2.44,8.19
"SDNHM",49771,30,9,1997,"thurberi","F","A","United States","California","San Diego","SOURDOUGH SPRING, PALOMAR",33.3650341,-116.83141,32.61,4.55,14.3,24.86,1.91,6.4
"SDNHM",49765,30,9,1996,"thurberi","M","I","United States","California","San Diego","0.2mi nw high point, PALOMAR MOUNTAIN, CA",33.3654173,-116.83802,31.57,4.7,12.35,19.39,2.46,6.98
"SDNHM",44413,1,9,1986,"thurberi","M","I","United States","California","San Diego","PALOMAR MOUNTAIN, SAN DIEGO CO., CA",33.3633652,-116.84076,28.94,5.59,13.59,18.96,1.85,4.54
"SDNHM",44414,1,9,1986,"thurberi","M","I","United States","California","San Diego","PALOMAR MOUNTAIN, SAN DIEGO CO., CA",33.3633652,-116.84076,33.8,6.45,15.54,19,1.83,4.85
"SDNHM",52529,1,3,2010,"thurberi","F","U","United States","California","Riverside","1.8 MI SE BANNING",33.909469,-116.852184,30.49,4.39,13.62,22.4,1.3,5.32
"SDNHM",44854,20,10,1987,"thurberi","M","I","United States","California","San Diego","OTAY MT. SAN DIEGO CO.",32.5965769,-116.85299,31.65,4.54,14.59,21.14,2.31,7.42
"SDNHM",14997,17,10,1931,"thurberi","M","I","United States","California","San Diego","SILVERCREST, PALOMAR MT",33.3392767,-116.86792,34.42,6.11,15.82,20.79,2.92,8.1
"SDNHM",50659,22,9,2002,"thurberi","F","I","United States","California","San Diego","PALOMAR MTN., SD",33.3392767,-116.86792,31.69,5.26,16.81,25.68,3.04,10.72
"SDNHM",1038,19,6,1892,"thurberi","F","U","United States","California","San Diego","SMITH MT. SAN DIEGO CO.",33.3392767,-116.86792,34.88,4.04,15.92,21.13,2.4,7.28
"SDNHM",9283,9,3,1924,"thurberi","F","U","United States","California","San Diego","EAST END PALOMAR MTN.",33.3197706,-116.87616,35.58,5.27,16.74,22.92,2.47,7.46
